
areaName,areaId,areaKey,error
r0c0773a's home,undefined,undefined,ReferenceError: glob is not defined
the d0ct0r's home,undefined,undefined,ReferenceError: glob is not defined
30cm's home,undefined,undefined,ReferenceError: glob is not defined
t0ctr4ek's home,undefined,undefined,ReferenceError: glob is not defined
0allhacks1noskill's home,undefined,undefined,TypeError: glob.sync is not a function
2010aydenv's home,undefined,undefined,TypeError: glob.sync is not a function
0ayce0's home,undefined,undefined,TypeError: glob.sync is not a function
b0bs test area,undefined,undefined,TypeError: glob.sync is not a function
n00b z0ne,undefined,undefined,TypeError: glob.sync is not a function
one100bill's home,undefined,undefined,TypeError: glob.sync is not a function
harl3y 420blzit savea,undefined,undefined,TypeError: glob.sync is not a function
sultan200200bajnaid's home,undefined,undefined,TypeError: glob.sync is not a function
dude10bg's home,undefined,undefined,TypeError: glob.sync is not a function
mrdude1120brother's home,undefined,undefined,TypeError: glob.sync is not a function
sbk 0bl1v10n's home,undefined,undefined,TypeError: glob.sync is not a function
nat20bard's home,undefined,undefined,TypeError: glob.sync is not a function
10beardeddraggin's home,undefined,undefined,TypeError: glob.sync is not a function
deathano0b's home,undefined,undefined,TypeError: glob.sync is not a function
n00bs house,undefined,undefined,TypeError: glob.sync is not a function
mari0br0's home,undefined,undefined,TypeError: glob.sync is not a function
ijfuifhcrv gi2j0bf9udgr,undefined,undefined,TypeError: glob.sync is not a function
b0brules's home,undefined,undefined,TypeError: glob.sync is not a function
nateb0b's home,undefined,undefined,TypeError: glob.sync is not a function
k1ll3rh0b0's home,undefined,undefined,TypeError: glob.sync is not a function
j0be's home,undefined,undefined,TypeError: glob.sync is not a function
r0bstie's home,undefined,undefined,TypeError: glob.sync is not a function
r0b0wnz's home,undefined,undefined,TypeError: glob.sync is not a function
s0m3 n00b's home,undefined,undefined,TypeError: glob.sync is not a function
welcome to area 01,undefined,undefined,Undefined keys, probably area name
wizard hut,undefined,undefined,Undefined keys probably area name
escape from ferncatraz,undefined,undefined,Undefined keys probably area name
skull cave,undefined,undefined,Undefined keys probably area name
ice mountain,undefined,undefined,Undefined keys probably area name
music hall,undefined,undefined,Undefined keys probably area name
heads n more,undefined,undefined,Undefined keys probably area name
sunbeach,undefined,undefined,Undefined keys probably area name
wwwwyyyywyy,undefined,undefined,Undefined keys probably area name
zoryor's home,undefined,undefined,Undefined keys probably area name
sirkitree's home,undefined,undefined,Undefined keys probably area name
transition,undefined,undefined,Undefined keys probably area name
home of the sea,undefined,undefined,Undefined keys probably area name
toshi forest,undefined,undefined,Undefined keys probably area name
alexmtc's home,Unobtained,Unobtained,undefined
cage cage,Unobtained,Unobtained,undefined
console dev,Unobtained,Unobtained,undefined
drewkillingsworth's home,Unobtained,Unobtained,undefined
derhammer's home,Unobtained,Unobtained,undefined
da main building,Unobtained,Unobtained,undefined
erictgkstreams's home,Unobtained,Unobtained,undefined
green hill usa,Unobtained,Unobtained,undefined
anyburger,Unobtained,Unobtained,undefined
dead zone c139,Unobtained,Unobtained,undefined
fazzis apartments,Unobtained,Unobtained,undefined
cyphertheory's home,Unobtained,Unobtained,undefined
lowlife,Unobtained,Unobtained,undefined
morgoth's home,Unobtained,Unobtained,undefined
mr crystal cat's home,Unobtained,Unobtained,undefined
rogueelite's home,Unobtained,Unobtained,undefined
night city,Unobtained,Unobtained,undefined
dreamsverse,Unobtained,Unobtained,undefined
random stuff i own,Unobtained,Unobtained,undefined
drako city,Unobtained,Unobtained,undefined
risk of rain 2,Unobtained,Unobtained,undefined
dark souls 5,Unobtained,Unobtained,undefined
clockparts's home,Unobtained,Unobtained,undefined
testing shit,Unobtained,Unobtained,undefined
superwoollyethan's home,Unobtained,Unobtained,undefined
the garden tomb,Unobtained,Unobtained,undefined
whatsup445's home,Unobtained,Unobtained,undefined
velma's home,Unobtained,Unobtained,undefined
derhammer time,Unobtained,Unobtained,undefined
fortnite,Unobtained,Unobtained,undefined
h's treehouse,Unobtained,Unobtained,undefined
freebuild world,Unobtained,Unobtained,undefined
grassylands,Unobtained,Unobtained,undefined
gio's lab,Unobtained,Unobtained,undefined
highrise,Unobtained,Unobtained,undefined
home 2717,Unobtained,Unobtained,undefined
home 2923,Unobtained,Unobtained,undefined
home 3017,Unobtained,Unobtained,undefined
robotabc773's home,Unobtained,Unobtained,undefined
pizarroj2005's home,Unobtained,Unobtained,undefined
sidekick's home,Unobtained,Unobtained,undefined
sleeves' experiments,Unobtained,Unobtained,undefined
staptus's home,Unobtained,Unobtained,undefined
the binding of isaac,Unobtained,Unobtained,undefined
syzygy07 ndf's home,Unobtained,Unobtained,undefined
the chill zone,Unobtained,Unobtained,undefined
trainsnowexe's home,Unobtained,Unobtained,undefined
the city of paladice,Unobtained,Unobtained,undefined
stigmata's home,Unobtained,Unobtained,undefined
valarous office,Unobtained,Unobtained,undefined
the t-a-r-d-i-s-,Unobtained,Unobtained,undefined
yeeeah boooooiii's home,Unobtained,Unobtained,undefined
virtualfn's home,Unobtained,Unobtained,undefined
zombie city,Unobtained,Unobtained,undefined
trophyscars's home,Unobtained,Unobtained,undefined
circuit city's home,Unobtained,Unobtained,undefined
spikeseeyoutoo's home,Unobtained,Unobtained,undefined
amplitech fabrication ,Unobtained,Unobtained,undefined
someboiii's home,Unobtained,Unobtained,undefined
pepsi land,Unobtained,Unobtained,undefined
jm-shrinkadink,Unobtained,Unobtained,undefined
amplitech labs,Unobtained,Unobtained,undefined
anyland-oasis hub,Unobtained,Unobtained,undefined
speed strike's island,Unobtained,Unobtained,undefined
aurora's home,Unobtained,Unobtained,undefined
johnny nu's home,Unobtained,Unobtained,undefined
zetaphor's lab,Unobtained,Unobtained,undefined
the skele-bone zone,Unobtained,Unobtained,undefined
seddo2011's home,undefined,undefined,Undefined keys, probably area name
crabby stork home,undefined,undefined,Undefined keys, probably area name
nother body,undefined,undefined,Undefined keys, probably area name
medievalist,undefined,undefined,Undefined keys, probably area name
legit's home,undefined,undefined,Undefined keys, probably area name
bluepill,undefined,undefined,Undefined keys, probably area name
turning 95,undefined,undefined,Undefined keys, probably area name
johnny nu's home,undefined,undefined,Undefined keys, probably area name
pukharra,undefined,undefined,Undefined keys, probably area name
kitsune den,undefined,undefined,Undefined keys, probably area name
apoctapus cave,undefined,undefined,Undefined keys, probably area name
climber,undefined,undefined,Undefined keys, probably area name
greybone's home,undefined,undefined,Undefined keys, probably area name
tonybyte's home,undefined,undefined,Undefined keys, probably area name
